round,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,rejected_clients,scenario
1.0,1.2987603522689362,0.9999999994179234,1.2987603522689362,0.9999999994179234,2.611884790703072,1.0000000566942602,2.611884790703072,1.0000000566942602,0.6545429326863158,0.6545429326863158,0.6545429326863158,0.6545429326863158,w1,label_flip_defended
2.0,1.262672837891562,1.000000016763806,1.262672837891562,1.000000016763806,2.55659282791186,1.0000000159488989,2.55659282791186,1.0000000159488989,0.5282694158346979,0.5282694158346979,0.5282694158346979,0.5282694158346979,w3,label_flip_defended
3.0,1.402312750095159,1.0000000206055115,1.402312750095159,1.0000000206055115,2.6018110928314364,1.0000000157160682,2.6018110928314364,1.0000000157160682,0.5399812001583227,0.5399812001583227,0.5399812001583227,0.5399812001583227,w1,label_flip_defended
4.0,1.45143682691125,1.000000009080395,1.45143682691125,1.000000009080395,2.5552807875097967,0.9999999620486044,2.5552807875097967,0.9999999620486044,0.5583501406301382,0.5583501406301382,0.5583501406301382,0.5583501406301382,w2,label_flip_defended
5.0,1.2728089283441866,1.0000000353902572,1.2728089283441866,1.0000000353902572,2.51907563525716,1.0000000053551048,2.51907563525716,1.0000000053551048,0.6369721626551427,0.6369721626551427,0.6369721626551427,0.6369721626551427,w3,label_flip_defended
6.0,1.228991001930585,0.9999999795691108,1.228991001930585,0.9999999795691108,2.5909169873182587,1.0000000362051644,2.5909169873182587,1.0000000362051644,0.4984140183558957,0.4984140183558957,0.4984140183558957,0.4984140183558957,w1,label_flip_defended
7.0,1.1543228687870914,0.9999999799765644,1.1543228687870914,0.9999999799765644,2.552363982104379,1.0000000331783665,2.552363982104379,1.0000000331783665,0.5224549039153619,0.5224549039153619,0.5224549039153619,0.5224549039153619,w3,label_flip_defended
8.0,1.2669228478638936,1.0000000168511176,1.2669228478638936,1.0000000168511176,2.606307870078876,0.999999984167516,2.606307870078876,0.999999984167516,0.5115459701334354,0.5115459701334354,0.5115459701334354,0.5115459701334354,w1,label_flip_defended
9.0,1.2852640498091248,1.00000002910383,1.2852640498091248,1.00000002910383,2.5764676582932085,0.9999999442370592,2.5764676582932085,0.9999999442370592,0.5510051704148087,0.5510051704148087,0.5510051704148087,0.5510051704148087,w1,label_flip_defended
10.0,1.294900919887096,0.999999984167516,1.294900919887096,0.999999984167516,2.535021275040973,0.999999967287294,2.535021275040973,0.999999967287294,0.5372461560954104,0.5372461560954104,0.5372461560954104,0.5372461560954104,w3,label_flip_defended
11.0,1.3466819043241516,1.0000000309664752,1.3466819043241516,1.0000000309664752,2.597354387727851,0.9999999781139192,2.597354387727851,0.9999999781139192,0.5132073258312455,0.5132073258312455,0.5132073258312455,0.5132073258312455,w1,label_flip_defended
12.0,1.2718131241726105,0.9999999494757492,1.2718131241726105,0.9999999494757492,2.551873765056277,1.0000000275904308,2.551873765056277,1.0000000275904308,0.5185410404385137,0.5185410404385137,0.5185410404385137,0.5185410404385137,w1,label_flip_defended
13.0,1.3815216306835891,1.0000000940635756,1.3815216306835891,1.0000000940635756,2.527636250560457,1.0000000187428666,2.527636250560457,1.0000000187428666,0.4906135020153988,0.4906135020153988,0.4906135020153988,0.4906135020153988,w3,label_flip_defended
