scenario,fl_model,aggregation_method,attack_type,attack_enabled,defense,clip_threshold,noise_multiplier,loss,accuracy,f1,recall,precision,roc_auc,pr_auc,threshold
normal_fl,logistic_regression,fedavg,sign_flip,0.0,none,0.0,0.0,0.6882,0.0625,0.0961,0.9881,0.0505,0.5004,0.0506,0.24
sign_flip_no_defense,logistic_regression,fedavg,sign_flip,1.0,none,0.0,0.0,0.5345,0.6332,0.088,0.351,0.0503,0.4953,0.0508,0.05
sign_flip_defended,logistic_regression,multi_krum,sign_flip,1.0,multi_krum+clip+dp,1.0,0.01,0.6901,0.0584,0.0962,0.9934,0.0505,0.5023,0.05,0.16
scale_no_defense,logistic_regression,fedavg,scale,1.0,none,0.0,0.0,0.659,0.0729,0.0961,0.9775,0.0505,0.4998,0.0506,0.32
scale_defended,logistic_regression,multi_krum,scale,1.0,multi_krum+clip+dp,1.0,0.01,0.6935,0.0596,0.0964,0.9941,0.0506,0.5008,0.0501,0.26
label_flip_no_defense,logistic_regression,fedavg,label_flip,1.0,none,0.0,0.0,0.511,0.0837,0.0963,0.9676,0.0507,0.5009,0.0506,0.14
label_flip_defended,logistic_regression,multi_krum,label_flip,1.0,multi_krum+clip+dp,1.0,0.01,0.5399,0.0708,0.0965,0.9841,0.0507,0.5011,0.0494,0.22
