round,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,rejected_clients,scenario
1.0,0.4433149491961383,0.4433149491961383,0.4433149491961383,0.4433149491961383,0.3112195185688119,0.3112195185688119,0.3112195185688119,0.3112195185688119,0.2977929653213353,0.2977929653213353,0.2977929653213353,0.2977929653213353,w3,label_flip_defended
2.0,0.4505997948733488,0.4505997948733488,0.4505997948733488,0.4505997948733488,0.3506250651847384,0.3506250651847384,0.3506250651847384,0.3506250651847384,0.4074135037930966,0.4074135037930966,0.4074135037930966,0.4074135037930966,w3,label_flip_defended
3.0,0.4915071735542549,0.4915071735542549,0.4915071735542549,0.4915071735542549,0.2954781824398712,0.2954781824398712,0.2954781824398712,0.2954781824398712,0.3689060929446308,0.3689060929446308,0.3689060929446308,0.3689060929446308,w3,label_flip_defended
4.0,0.5095047337950412,0.5095047337950412,0.5095047337950412,0.5095047337950412,0.2289794998339769,0.2289794998339769,0.2289794998339769,0.2289794998339769,0.4380992676487935,0.4380992676487935,0.4380992676487935,0.4380992676487935,w3,label_flip_defended
5.0,0.5174880903135929,0.5174880903135929,0.5174880903135929,0.5174880903135929,0.1744915619167081,0.1744915619167081,0.1744915619167081,0.1744915619167081,0.2239861695138225,0.2239861695138225,0.2239861695138225,0.2239861695138225,w3,label_flip_defended
6.0,0.5495207546339311,0.5495207546339311,0.5495207546339311,0.5495207546339311,0.1609904903374796,0.1609904903374796,0.1609904903374796,0.1609904903374796,0.2212749180393543,0.2212749180393543,0.2212749180393543,0.2212749180393543,w3,label_flip_defended
7.0,0.5593603249441661,0.5593603249441661,0.5593603249441661,0.5593603249441661,0.1441261051587216,0.1441261051587216,0.1441261051587216,0.1441261051587216,0.1646259204223988,0.1646259204223988,0.1646259204223988,0.1646259204223988,w3,label_flip_defended
8.0,0.5669951370167796,0.5669951370167796,0.5669951370167796,0.5669951370167796,0.1295615845277327,0.1295615845277327,0.1295615845277327,0.1295615845277327,0.1099556312246268,0.1099556312246268,0.1099556312246268,0.1099556312246268,w3,label_flip_defended
9.0,0.5292965934724516,0.5292965934724516,0.5292965934724516,0.5292965934724516,0.1274051541619779,0.1274051541619779,0.1274051541619779,0.1274051541619779,0.1705765021592806,0.1705765021592806,0.1705765021592806,0.1705765021592806,w3,label_flip_defended
10.0,0.54649725538212,0.54649725538212,0.54649725538212,0.54649725538212,0.1014112552229003,0.1014112552229003,0.1014112552229003,0.1014112552229003,0.1751998558433448,0.1751998558433448,0.1751998558433448,0.1751998558433448,w3,label_flip_defended
11.0,0.5801708070329556,0.5801708070329556,0.5801708070329556,0.5801708070329556,0.1080695938960161,0.1080695938960161,0.1080695938960161,0.1080695938960161,0.1979690488189814,0.1979690488189814,0.1979690488189814,0.1979690488189814,w3,label_flip_defended
12.0,0.5581093001213292,0.5581093001213292,0.5581093001213292,0.5581093001213292,0.1062008780990571,0.1062008780990571,0.1062008780990571,0.1062008780990571,0.2036065299472277,0.2036065299472277,0.2036065299472277,0.2036065299472277,w3,label_flip_defended
13.0,0.553054231760989,0.553054231760989,0.553054231760989,0.553054231760989,0.1179638024738961,0.1179638024738961,0.1179638024738961,0.1179638024738961,0.1119080942203567,0.1119080942203567,0.1119080942203567,0.1119080942203567,w3,label_flip_defended
14.0,0.5619377399079611,0.5619377399079611,0.5619377399079611,0.5619377399079611,0.1044553052126164,0.1044553052126164,0.1044553052126164,0.1044553052126164,0.1343410687521768,0.1343410687521768,0.1343410687521768,0.1343410687521768,w3,label_flip_defended
15.0,0.5479622999257098,0.5479622999257098,0.5479622999257098,0.5479622999257098,0.1168780849910615,0.1168780849910615,0.1168780849910615,0.1168780849910615,0.1140622550083168,0.1140622550083168,0.1140622550083168,0.1140622550083168,w3,label_flip_defended
16.0,0.567737251968412,0.567737251968412,0.567737251968412,0.567737251968412,0.1112444669109332,0.1112444669109332,0.1112444669109332,0.1112444669109332,0.2199177355402132,0.2199177355402132,0.2199177355402132,0.2199177355402132,w3,label_flip_defended
17.0,0.5695481044070229,0.5695481044070229,0.5695481044070229,0.5695481044070229,0.0961644456470974,0.0961644456470974,0.0961644456470974,0.0961644456470974,0.1805042900661387,0.1805042900661387,0.1805042900661387,0.1805042900661387,w3,label_flip_defended
18.0,0.5802830228267445,0.5802830228267445,0.5802830228267445,0.5802830228267445,0.0883963677803361,0.0883963677803361,0.0883963677803361,0.0883963677803361,0.133717926981101,0.133717926981101,0.133717926981101,0.133717926981101,w3,label_flip_defended
19.0,0.5716728062764564,0.5716728062764564,0.5716728062764564,0.5716728062764564,0.0898264394998529,0.0898264394998529,0.0898264394998529,0.0898264394998529,0.1089952787290825,0.1089952787290825,0.1089952787290825,0.1089952787290825,w3,label_flip_defended
20.0,0.5915939184471416,0.5915939184471416,0.5915939184471416,0.5915939184471416,0.1055479278848785,0.1055479278848785,0.1055479278848785,0.1055479278848785,0.1901795651985066,0.1901795651985066,0.1901795651985066,0.1901795651985066,w3,label_flip_defended
1.0,0.4657155524920111,0.4657155524920111,0.4657155524920111,0.4657155524920111,0.3638231737153389,0.3638231737153389,0.3638231737153389,0.3638231737153389,0.3468148465021318,0.3468148465021318,0.3468148465021318,0.3468148465021318,,label_flip_no_defense
2.0,0.4667437854408293,0.4667437854408293,0.4667437854408293,0.4667437854408293,0.3438304622720658,0.3438304622720658,0.3438304622720658,0.3438304622720658,0.4285990540791289,0.4285990540791289,0.4285990540791289,0.4285990540791289,,label_flip_no_defense
3.0,0.4534014565531729,0.4534014565531729,0.4534014565531729,0.4534014565531729,0.2649047040141585,0.2649047040141585,0.2649047040141585,0.2649047040141585,0.3190010484630371,0.3190010484630371,0.3190010484630371,0.3190010484630371,,label_flip_no_defense
4.0,0.4602618842644549,0.4602618842644549,0.4602618842644549,0.4602618842644549,0.2183091626243927,0.2183091626243927,0.2183091626243927,0.2183091626243927,0.3886981025549508,0.3886981025549508,0.3886981025549508,0.3886981025549508,,label_flip_no_defense
5.0,0.4702171729674836,0.4702171729674836,0.4702171729674836,0.4702171729674836,0.1920684094632459,0.1920684094632459,0.1920684094632459,0.1920684094632459,0.2131931142039809,0.2131931142039809,0.2131931142039809,0.2131931142039809,,label_flip_no_defense
6.0,0.4874209722017443,0.4874209722017443,0.4874209722017443,0.4874209722017443,0.1832838715246287,0.1832838715246287,0.1832838715246287,0.1832838715246287,0.2084894782274222,0.2084894782274222,0.2084894782274222,0.2084894782274222,,label_flip_no_defense
7.0,0.4823514060626015,0.4823514060626015,0.4823514060626015,0.4823514060626015,0.170308182326979,0.170308182326979,0.170308182326979,0.170308182326979,0.1777752315805391,0.1777752315805391,0.1777752315805391,0.1777752315805391,,label_flip_no_defense
8.0,0.485827176489622,0.485827176489622,0.485827176489622,0.485827176489622,0.1578821138183588,0.1578821138183588,0.1578821138183588,0.1578821138183588,0.1198438581680048,0.1198438581680048,0.1198438581680048,0.1198438581680048,,label_flip_no_defense
9.0,0.4542094522921476,0.4542094522921476,0.4542094522921476,0.4542094522921476,0.1838992131810517,0.1838992131810517,0.1838992131810517,0.1838992131810517,0.142086999084732,0.142086999084732,0.142086999084732,0.142086999084732,,label_flip_no_defense
10.0,0.4660501133194953,0.4660501133194953,0.4660501133194953,0.4660501133194953,0.1616645427570538,0.1616645427570538,0.1616645427570538,0.1616645427570538,0.15572600717646,0.15572600717646,0.15572600717646,0.15572600717646,,label_flip_no_defense
11.0,0.4927109402378574,0.4927109402378574,0.4927109402378574,0.4927109402378574,0.1591658326566967,0.1591658326566967,0.1591658326566967,0.1591658326566967,0.1741557248903521,0.1741557248903521,0.1741557248903521,0.1741557248903521,,label_flip_no_defense
12.0,0.4788301174018425,0.4788301174018425,0.4788301174018425,0.4788301174018425,0.1605938522084362,0.1605938522084362,0.1605938522084362,0.1605938522084362,0.2026937795063889,0.2026937795063889,0.2026937795063889,0.2026937795063889,,label_flip_no_defense
13.0,0.4874994886224461,0.4874994886224461,0.4874994886224461,0.4874994886224461,0.1527646528657686,0.1527646528657686,0.1527646528657686,0.1527646528657686,0.1486351006114952,0.1486351006114952,0.1486351006114952,0.1486351006114952,,label_flip_no_defense
14.0,0.4932662782399807,0.4932662782399807,0.4932662782399807,0.4932662782399807,0.184660715652138,0.184660715652138,0.184660715652138,0.184660715652138,0.1471443575312939,0.1471443575312939,0.1471443575312939,0.1471443575312939,,label_flip_no_defense
15.0,0.4935099153851152,0.4935099153851152,0.4935099153851152,0.4935099153851152,0.149824743656596,0.149824743656596,0.149824743656596,0.149824743656596,0.1368082949618466,0.1368082949618466,0.1368082949618466,0.1368082949618466,,label_flip_no_defense
16.0,0.4981715775494811,0.4981715775494811,0.4981715775494811,0.4981715775494811,0.1510524059863643,0.1510524059863643,0.1510524059863643,0.1510524059863643,0.1667399606936273,0.1667399606936273,0.1667399606936273,0.1667399606936273,,label_flip_no_defense
17.0,0.494870927803309,0.494870927803309,0.494870927803309,0.494870927803309,0.1314202209248264,0.1314202209248264,0.1314202209248264,0.1314202209248264,0.187932236479126,0.187932236479126,0.187932236479126,0.187932236479126,,label_flip_no_defense
18.0,0.5155338076666613,0.5155338076666613,0.5155338076666613,0.5155338076666613,0.1559501266324548,0.1559501266324548,0.1559501266324548,0.1559501266324548,0.1084133945490418,0.1084133945490418,0.1084133945490418,0.1084133945490418,,label_flip_no_defense
19.0,0.4905153662289894,0.4905153662289894,0.4905153662289894,0.4905153662289894,0.1568113325577544,0.1568113325577544,0.1568113325577544,0.1568113325577544,0.1447616456239043,0.1447616456239043,0.1447616456239043,0.1447616456239043,,label_flip_no_defense
20.0,0.5002839094507464,0.5002839094507464,0.5002839094507464,0.5002839094507464,0.1768455026877864,0.1768455026877864,0.1768455026877864,0.1768455026877864,0.166105285443123,0.166105285443123,0.166105285443123,0.166105285443123,,label_flip_no_defense
1.0,0.3097510667533147,0.3097510667533147,0.3097510667533147,0.3097510667533147,0.3229119322286161,0.3229119322286161,0.3229119322286161,0.3229119322286161,0.3641042564659941,0.3641042564659941,0.3641042564659941,0.3641042564659941,,normal_fl
2.0,0.3391753727393423,0.3391753727393423,0.3391753727393423,0.3391753727393423,0.3722744279202912,0.3722744279202912,0.3722744279202912,0.3722744279202912,0.5219438221945625,0.5219438221945625,0.5219438221945625,0.5219438221945625,,normal_fl
3.0,0.2476019774274503,0.2476019774274503,0.2476019774274503,0.2476019774274503,0.2643913449032502,0.2643913449032502,0.2643913449032502,0.2643913449032502,0.3487050411725367,0.3487050411725367,0.3487050411725367,0.3487050411725367,,normal_fl
4.0,0.2231097037684758,0.2231097037684758,0.2231097037684758,0.2231097037684758,0.2135088173771681,0.2135088173771681,0.2135088173771681,0.2135088173771681,0.402341645892669,0.402341645892669,0.402341645892669,0.402341645892669,,normal_fl
5.0,0.2135817569611113,0.2135817569611113,0.2135817569611113,0.2135817569611113,0.1719232296466026,0.1719232296466026,0.1719232296466026,0.1719232296466026,0.2154859200559752,0.2154859200559752,0.2154859200559752,0.2154859200559752,,normal_fl
6.0,0.1590300980458934,0.1590300980458934,0.1590300980458934,0.1590300980458934,0.1618372920387294,0.1618372920387294,0.1618372920387294,0.1618372920387294,0.211036365351993,0.211036365351993,0.211036365351993,0.211036365351993,,normal_fl
7.0,0.1548820607430492,0.1548820607430492,0.1548820607430492,0.1548820607430492,0.1512805937138352,0.1512805937138352,0.1512805937138352,0.1512805937138352,0.1601573723079156,0.1601573723079156,0.1601573723079156,0.1601573723079156,,normal_fl
8.0,0.1456515543081955,0.1456515543081955,0.1456515543081955,0.1456515543081955,0.1313653919767644,0.1313653919767644,0.1313653919767644,0.1313653919767644,0.1111203280930198,0.1111203280930198,0.1111203280930198,0.1111203280930198,,normal_fl
9.0,0.1507441357039164,0.1507441357039164,0.1507441357039164,0.1507441357039164,0.1404317680597373,0.1404317680597373,0.1404317680597373,0.1404317680597373,0.1726136550425338,0.1726136550425338,0.1726136550425338,0.1726136550425338,,normal_fl
10.0,0.1280836669250039,0.1280836669250039,0.1280836669250039,0.1280836669250039,0.1118917367629176,0.1118917367629176,0.1118917367629176,0.1118917367629176,0.1763621454162393,0.1763621454162393,0.1763621454162393,0.1763621454162393,,normal_fl
11.0,0.1243935239073972,0.1243935239073972,0.1243935239073972,0.1243935239073972,0.1083596499528263,0.1083596499528263,0.1083596499528263,0.1083596499528263,0.211492822955377,0.211492822955377,0.211492822955377,0.211492822955377,,normal_fl
12.0,0.1327772904629914,0.1327772904629914,0.1327772904629914,0.1327772904629914,0.1086243973210522,0.1086243973210522,0.1086243973210522,0.1086243973210522,0.1988082517948314,0.1988082517948314,0.1988082517948314,0.1988082517948314,,normal_fl
13.0,0.1110531082839399,0.1110531082839399,0.1110531082839399,0.1110531082839399,0.1257312033881245,0.1257312033881245,0.1257312033881245,0.1257312033881245,0.1120347095032503,0.1120347095032503,0.1120347095032503,0.1120347095032503,,normal_fl
14.0,0.1260226282947125,0.1260226282947125,0.1260226282947125,0.1260226282947125,0.1191785705048946,0.1191785705048946,0.1191785705048946,0.1191785705048946,0.1387616776774857,0.1387616776774857,0.1387616776774857,0.1387616776774857,,normal_fl
15.0,0.1044653083363777,0.1044653083363777,0.1044653083363777,0.1044653083363777,0.1234991009860826,0.1234991009860826,0.1234991009860826,0.1234991009860826,0.113805218858173,0.113805218858173,0.113805218858173,0.113805218858173,,normal_fl
16.0,0.1057170978308016,0.1057170978308016,0.1057170978308016,0.1057170978308016,0.1165560633380124,0.1165560633380124,0.1165560633380124,0.1165560633380124,0.2120234167736505,0.2120234167736505,0.2120234167736505,0.2120234167736505,,normal_fl
17.0,0.1239210922452848,0.1239210922452848,0.1239210922452848,0.1239210922452848,0.0973989189562712,0.0973989189562712,0.0973989189562712,0.0973989189562712,0.1827247399810867,0.1827247399810867,0.1827247399810867,0.1827247399810867,,normal_fl
18.0,0.1167490486300873,0.1167490486300873,0.1167490486300873,0.1167490486300873,0.0874462164087711,0.0874462164087711,0.0874462164087711,0.0874462164087711,0.1506794163142782,0.1506794163142782,0.1506794163142782,0.1506794163142782,,normal_fl
19.0,0.121236480534944,0.121236480534944,0.121236480534944,0.121236480534944,0.0935468229929617,0.0935468229929617,0.0935468229929617,0.0935468229929617,0.1097637212832568,0.1097637212832568,0.1097637212832568,0.1097637212832568,,normal_fl
20.0,0.1211488071545969,0.1211488071545969,0.1211488071545969,0.1211488071545969,0.1084519319705016,0.1084519319705016,0.1084519319705016,0.1084519319705016,0.2099302091956519,0.2099302091956519,0.2099302091956519,0.2099302091956519,,normal_fl
1.0,1.6293275503281222,1.000000059604643,1.6293275503281222,1.000000059604643,0.3786980656781946,0.3786980656781946,0.3786980656781946,0.3786980656781946,0.5235173748051443,0.5235173748051443,0.5235173748051443,0.5235173748051443,w3,scale_defended
2.0,1.470324017827226,1.0,1.470324017827226,1.0,0.3327623620570734,0.3327623620570734,0.3327623620570734,0.3327623620570734,0.4960272286338069,0.4960272286338069,0.4960272286338069,0.4960272286338069,w3,scale_defended
