round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.7989340339776606,0.4130190534151023,0.004762471722824146,0.8108108108108109,0.0023882498109302234,0.7995739478927435,0.20221882284641413
1,0.5693645151585124,0.7946023126258134,0.01481980464802964,0.8918918918918919,0.007471980074719801,0.9152924379078008,0.7384680444816545
2,0.39269991030012713,0.9606994054585459,0.07083563918096292,0.8648648648648649,0.03693017888055395,0.9352366575917505,0.7270549985085916
3,0.29712913961933113,0.978137727634474,0.12052730696798493,0.8648648648648649,0.06477732793522267,0.945912675477954,0.7195187431470444
4,0.2296177827959635,0.9820233135152848,0.14093959731543623,0.8513513513513513,0.07682926829268293,0.9493398505427205,0.7202985138380628
5,0.19773044254517563,0.9822105706661673,0.14221218961625282,0.8513513513513513,0.07758620689655173,0.9528953545554558,0.7183094275950413
6,0.1700600885548707,0.9884602780768691,0.2035541195476575,0.8513513513513513,0.11559633027522936,0.9528532119626663,0.7241098658922261
7,0.15735273806383696,0.9880155423435233,0.1974921630094044,0.8513513513513513,0.11170212765957446,0.9553204548104661,0.7273381332898764
8,0.1548097227243308,0.9843640279013155,0.15869017632241814,0.8513513513513513,0.0875,0.9581596931765755,0.7225724400195758
9,0.13933897540048726,0.9856514208136323,0.17050067658998647,0.8513513513513513,0.09473684210526316,0.9564987046697796,0.7202867812125955
10,0.13085638633678573,0.9863770422733018,0.17796610169491525,0.8513513513513513,0.09936908517350158,0.95370081674246,0.7210596521472106
11,0.11839539788125622,0.9884134637891484,0.2028985507246377,0.8513513513513513,0.11517367458866545,0.9543830197670939,0.7210756260959117
12,0.11297981199466695,0.9888816066663546,0.2096505823627288,0.8513513513513513,0.11954459203036052,0.9542619786359234,0.730011237241004
13,0.10613262664127422,0.9904498853049951,0.23595505617977527,0.8513513513513513,0.13695652173913042,0.9545541250310524,0.7303743845572652
14,0.10272646495887253,0.9901689995786714,0.23076923076923078,0.8513513513513513,0.13347457627118645,0.9550652227917282,0.7288934896299357
15,0.10455937306784871,0.9882027994944057,0.2,0.8513513513513513,0.11330935251798561,0.954046195886376,0.7238895433736274
16,0.0959380156122063,0.9906605495997378,0.24,0.8513513513513513,0.13968957871396895,0.953918183800007,0.7302828287905341
17,0.09396628536860445,0.9903562567295539,0.2342007434944238,0.8513513513513513,0.13577586206896552,0.9555196023260177,0.7275542787134462
18,0.08971850920495615,0.9905669210242967,0.2381852551984877,0.8513513513513513,0.13846153846153847,0.9567005455089305,0.7277351977322041
19,0.08727596338117177,0.9905435138804363,0.23773584905660378,0.8513513513513513,0.13815789473684212,0.9544650869214741,0.7293379176101243
20,0.08089249590903479,0.9909414353260615,0.24561403508771928,0.8513513513513513,0.14350797266514806,0.9544074181102881,0.7307718566505813
