round,num_clients,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,w2_clip_threshold,w2_noise_multiplier,w2_noise_scale,w2_is_malicious,w2_attack_strength,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w1_clip_threshold,w1_noise_multiplier,w1_noise_scale,w1_is_malicious,w1_attack_strength,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w3_clip_threshold,w3_noise_multiplier,w3_noise_scale,w3_is_malicious,w3_attack_strength,w2_agg_score,w2_selected,w1_agg_score,w1_selected,w3_agg_score,w3_selected,rejected_clients
1.0,3.0,0.3229119322286161,0.3229119322286161,0.3229119322286161,0.3229119322286161,0.0,0.0,0.0,0.0,0.0,0.36410425646599415,0.36410425646599415,0.36410425646599415,0.36410425646599415,0.0,0.0,0.0,0.0,0.0,0.3097510667533147,0.3097510667533147,0.3097510667533147,0.3097510667533147,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
2.0,3.0,0.37227442792029125,0.37227442792029125,0.37227442792029125,0.37227442792029125,0.0,0.0,0.0,0.0,0.0,0.5219438221945625,0.5219438221945625,0.5219438221945625,0.5219438221945625,0.0,0.0,0.0,0.0,0.0,0.3391753727393423,0.3391753727393423,0.3391753727393423,0.3391753727393423,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
3.0,3.0,0.2643913449032502,0.2643913449032502,0.2643913449032502,0.2643913449032502,0.0,0.0,0.0,0.0,0.0,0.3487050411725367,0.3487050411725367,0.3487050411725367,0.3487050411725367,0.0,0.0,0.0,0.0,0.0,0.24760197742745033,0.24760197742745033,0.24760197742745033,0.24760197742745033,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
4.0,3.0,0.2135088173771681,0.2135088173771681,0.2135088173771681,0.2135088173771681,0.0,0.0,0.0,0.0,0.0,0.402341645892669,0.402341645892669,0.402341645892669,0.402341645892669,0.0,0.0,0.0,0.0,0.0,0.22310970376847583,0.22310970376847583,0.22310970376847583,0.22310970376847583,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
5.0,3.0,0.1719232296466026,0.1719232296466026,0.1719232296466026,0.1719232296466026,0.0,0.0,0.0,0.0,0.0,0.2154859200559752,0.2154859200559752,0.2154859200559752,0.2154859200559752,0.0,0.0,0.0,0.0,0.0,0.21358175696111134,0.21358175696111134,0.21358175696111134,0.21358175696111134,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
6.0,3.0,0.16183729203872949,0.16183729203872949,0.16183729203872949,0.16183729203872949,0.0,0.0,0.0,0.0,0.0,0.21103636535199308,0.21103636535199308,0.21103636535199308,0.21103636535199308,0.0,0.0,0.0,0.0,0.0,0.15903009804589346,0.15903009804589346,0.15903009804589346,0.15903009804589346,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
7.0,3.0,0.1512805937138352,0.1512805937138352,0.1512805937138352,0.1512805937138352,0.0,0.0,0.0,0.0,0.0,0.16015737230791563,0.16015737230791563,0.16015737230791563,0.16015737230791563,0.0,0.0,0.0,0.0,0.0,0.15488206074304925,0.15488206074304925,0.15488206074304925,0.15488206074304925,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
8.0,3.0,0.13136539197676445,0.13136539197676445,0.13136539197676445,0.13136539197676445,0.0,0.0,0.0,0.0,0.0,0.11112032809301986,0.11112032809301986,0.11112032809301986,0.11112032809301986,0.0,0.0,0.0,0.0,0.0,0.1456515543081955,0.1456515543081955,0.1456515543081955,0.1456515543081955,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
9.0,3.0,0.14043176805973737,0.14043176805973737,0.14043176805973737,0.14043176805973737,0.0,0.0,0.0,0.0,0.0,0.17261365504253387,0.17261365504253387,0.17261365504253387,0.17261365504253387,0.0,0.0,0.0,0.0,0.0,0.1507441357039164,0.1507441357039164,0.1507441357039164,0.1507441357039164,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
10.0,3.0,0.11189173676291768,0.11189173676291768,0.11189173676291768,0.11189173676291768,0.0,0.0,0.0,0.0,0.0,0.17636214541623937,0.17636214541623937,0.17636214541623937,0.17636214541623937,0.0,0.0,0.0,0.0,0.0,0.1280836669250039,0.1280836669250039,0.1280836669250039,0.1280836669250039,0.0,0.0,0.0,0.0,0.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
