round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.7737717169888803,0.4049904030710173,0.005399483527662572,0.9324324324324325,0.002707581227436823,0.9142862438972457,0.3348789418036926
1,0.5886169941967578,0.7596554468423763,0.012312427856868027,0.8648648648648649,0.006200348769618291,0.917150514329749,0.7049684236436266
2,0.44850208180191187,0.9529984551285052,0.059044048734770385,0.8513513513513513,0.03058252427184466,0.9192991528388265,0.7582261336741526
3,0.371023960512026,0.9747436917747296,0.1045643153526971,0.8513513513513513,0.05570291777188329,0.9216445624014561,0.7607360618679203
4,0.29932790201497217,0.9833575207153223,0.15053763440860216,0.8513513513513513,0.08256880733944955,0.9233274143586467,0.7375844984279991
5,0.25975629441422576,0.9885539066523102,0.2048780487804878,0.8513513513513513,0.11645101663585952,0.925855019341232,0.7388034187994456
6,0.23157459010033812,0.9913159496278264,0.2535211267605634,0.8513513513513513,0.14893617021276595,0.9252346043285831,0.7249774016353918
7,0.2113555439424101,0.9924394925331211,0.2806236080178174,0.8513513513513513,0.168,0.9271354570665207,0.7248514228688051
8,0.20418027050191634,0.9916436496418707,0.2608695652173913,0.8513513513513513,0.15403422982885084,0.9264478673946879,0.726869669547363
9,0.18583673130231484,0.9920181639436356,0.2698072805139186,0.8513513513513513,0.16030534351145037,0.92689179049618,0.7272541464269356
10,0.17343779818055466,0.9918777210804738,0.266384778012685,0.8513513513513513,0.15789473684210525,0.9263258756787176,0.7262235761381509
11,0.15764822659785954,0.9921586068067975,0.27331887201735355,0.8513513513513513,0.16279069767441862,0.9280258381623042,0.7258918151919064
12,0.14631386494708679,0.9930948925612096,0.2992874109263658,0.8513513513513513,0.18155619596541786,0.9273255740264744,0.7374117279362546
13,0.1359413170952875,0.9952717569402182,0.38414634146341464,0.8513513513513513,0.24803149606299213,0.9286285089253576,0.7347231164035489
14,0.12949738897487417,0.9936098497261364,0.3157894736842105,0.8513513513513513,0.19384615384615383,0.9278398404031494,0.7344806058915463
15,0.1308801541634526,0.992205421094518,0.27450980392156865,0.8513513513513513,0.16363636363636364,0.9277679128199668,0.7307660308739602
16,0.12049466483704478,0.9939843640279014,0.3289817232375979,0.8513513513513513,0.20388349514563106,0.9276414850415975,0.7376127875311909
17,0.11243554690079433,0.995646271241983,0.40384615384615385,0.8513513513513513,0.2647058823529412,0.9277412964455733,0.7381472136783304
18,0.10808805497938448,0.994873835494593,0.3652173913043478,0.8513513513513513,0.23247232472324722,0.9303436807657404,0.7394186958926483
19,0.10629853356459745,0.9946631711998501,0.3559322033898305,0.8513513513513513,0.225,0.931056936227167,0.7401872041562846
20,0.10137220488471392,0.9951781283647769,0.3795180722891566,0.8513513513513513,0.2441860465116279,0.9306849407088575,0.7392489208539968
