round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.796898119336209,0.3166518421422218,0.004093607150167156,0.8108108108108109,0.002051983584131327,0.7325101902690535,0.294323406355941
1,0.6721117598108454,0.5619353026543701,0.0065820903444981154,0.8378378378378378,0.00330402344790834,0.8822751423342308,0.6905874007076012
2,0.5319826617832007,0.8983895885024109,0.028206850235057087,0.8513513513513513,0.014340997040746642,0.9147113137335421,0.7378075762076727
3,0.43788761889559374,0.9664575628481813,0.08082103912764593,0.8513513513513513,0.04242424242424243,0.9201309145386243,0.7520631780249167
4,0.3498731882057713,0.9810870277608726,0.1349036402569593,0.8513513513513513,0.07325581395348837,0.92257375904323,0.7336170655234239
5,0.2980447891730128,0.98623659941014,0.17647058823529413,0.8513513513513513,0.0984375,0.9222581648897068,0.736197756427985
6,0.2630125084237543,0.9895838209821638,0.22066549912434325,0.8513513513513513,0.1267605633802817,0.9224855130876516,0.7396611210955047
7,0.23761130510239167,0.9922522353822386,0.27571115973741794,0.8513513513513513,0.16449086161879894,0.9254500702165307,0.7229494380004918
8,0.22675432505730894,0.9911052853330836,0.2490118577075099,0.8513513513513513,0.14583333333333334,0.9259114207060184,0.7234147582122716
9,0.20455183077123543,0.9919245353681944,0.267515923566879,0.8513513513513513,0.15869017632241814,0.9266690367914341,0.7239471010603648
10,0.18920393012108486,0.9918309067927531,0.26526315789473687,0.8513513513513513,0.1571072319201995,0.9260717526755793,0.7238500977787229
11,0.1709894013415543,0.9920181639436356,0.2698072805139186,0.8513513513513513,0.16030534351145037,0.9279941520023118,0.7262620748193171
12,0.15783019318873956,0.9928374139787464,0.2916666666666667,0.8513513513513513,0.17597765363128492,0.9272473092112935,0.7353455748675659
13,0.14618467101078622,0.9950376855016151,0.3727810650887574,0.8513513513513513,0.23863636363636365,0.9288522132149032,0.734569212308031
14,0.13866130986375325,0.9933991854313937,0.3088235294117647,0.8513513513513513,0.18862275449101795,0.9280378789031012,0.7346574169861156
15,0.13937559973950958,0.9920649782313562,0.2709677419354839,0.8513513513513513,0.16112531969309463,0.9279181052183304,0.7309936751322141
16,0.1279442844619979,0.9938205140208791,0.3230769230769231,0.8513513513513513,0.19936708860759494,0.9278471282199476,0.7373293165007792
17,0.11903422938796575,0.9955058283788212,0.39622641509433965,0.8513513513513513,0.2581967213114754,0.9279025789999341,0.7378727131987945
18,0.11405243924069229,0.9947567997752914,0.36,0.8513513513513513,0.22826086956521738,0.9305160534760986,0.7393007874120082
19,0.11181544158397833,0.9945929497682693,0.35294117647058826,0.8513513513513513,0.2226148409893993,0.9312023757015316,0.739979826603885
20,0.10633496027560875,0.9950610926454754,0.37388724035608306,0.8513513513513513,0.23954372623574144,0.9307964759920304,0.7389546853682867
