round,num_clients,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,w2_clip_threshold,w2_noise_multiplier,w2_noise_scale,w2_is_malicious,w2_attack_strength,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w1_clip_threshold,w1_noise_multiplier,w1_noise_scale,w1_is_malicious,w1_attack_strength,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w3_clip_threshold,w3_noise_multiplier,w3_noise_scale,w3_is_malicious,w3_attack_strength,w2_agg_score,w2_selected,w1_agg_score,w1_selected,w3_agg_score,w3_selected,rejected_clients
1.0,3.0,0.3347889014685629,0.3347889014685629,0.3347889014685629,0.3347889014685629,0.0,0.0,0.0,0.0,0.0,0.3015277117570193,0.3015277117570193,0.3015277117570193,0.3015277117570193,0.0,0.0,0.0,0.0,0.0,1.5441439379281132,1.5441439379281132,1.5441439379281132,1.5441439379281132,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
2.0,3.0,0.364396401238887,0.364396401238887,0.364396401238887,0.364396401238887,0.0,0.0,0.0,0.0,0.0,0.34038798814240995,0.34038798814240995,0.34038798814240995,0.34038798814240995,0.0,0.0,0.0,0.0,0.0,1.8619298669011652,1.8619298669011652,1.8619298669011652,1.8619298669011652,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
3.0,3.0,0.4221007837878851,0.4221007837878851,0.4221007837878851,0.4221007837878851,0.0,0.0,0.0,0.0,0.0,0.40313206018920783,0.40313206018920783,0.40313206018920783,0.40313206018920783,0.0,0.0,0.0,0.0,0.0,2.1395645734542765,2.1395645734542765,2.1395645734542765,2.1395645734542765,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
4.0,3.0,0.5032697625027595,0.5032697625027595,0.5032697625027595,0.5032697625027595,0.0,0.0,0.0,0.0,0.0,0.38827122772741,0.38827122772741,0.38827122772741,0.38827122772741,0.0,0.0,0.0,0.0,0.0,2.4387424447784825,2.4387424447784825,2.4387424447784825,2.4387424447784825,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
5.0,3.0,0.5447771455299372,0.5447771455299372,0.5447771455299372,0.5447771455299372,0.0,0.0,0.0,0.0,0.0,0.40586279248303186,0.40586279248303186,0.40586279248303186,0.40586279248303186,0.0,0.0,0.0,0.0,0.0,2.651412499815129,2.651412499815129,2.651412499815129,2.651412499815129,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
6.0,3.0,0.49311330505758194,0.49311330505758194,0.49311330505758194,0.49311330505758194,0.0,0.0,0.0,0.0,0.0,0.4796903199903558,0.4796903199903558,0.4796903199903558,0.4796903199903558,0.0,0.0,0.0,0.0,0.0,2.991993536775475,2.991993536775475,2.991993536775475,2.991993536775475,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
7.0,3.0,0.6141032250321615,0.6141032250321615,0.6141032250321615,0.6141032250321615,0.0,0.0,0.0,0.0,0.0,0.4327642395922245,0.4327642395922245,0.4327642395922245,0.4327642395922245,0.0,0.0,0.0,0.0,0.0,2.926382372313332,2.926382372313332,2.926382372313332,2.926382372313332,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
8.0,3.0,0.5858190822149622,0.5858190822149622,0.5858190822149622,0.5858190822149622,0.0,0.0,0.0,0.0,0.0,0.5481881728470172,0.5481881728470172,0.5481881728470172,0.5481881728470172,0.0,0.0,0.0,0.0,0.0,3.0178125037368786,3.0178125037368786,3.0178125037368786,3.0178125037368786,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
9.0,3.0,0.6703669102744977,0.6703669102744977,0.6703669102744977,0.6703669102744977,0.0,0.0,0.0,0.0,0.0,0.4591455247713976,0.4591455247713976,0.4591455247713976,0.4591455247713976,0.0,0.0,0.0,0.0,0.0,2.5545962547782652,2.5545962547782652,2.5545962547782652,2.5545962547782652,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
10.0,3.0,0.6148457071498563,0.6148457071498563,0.6148457071498563,0.6148457071498563,0.0,0.0,0.0,0.0,0.0,0.6180188281852917,0.6180188281852917,0.6180188281852917,0.6180188281852917,0.0,0.0,0.0,0.0,0.0,2.699790082603767,2.699790082603767,2.699790082603767,2.699790082603767,0.0,0.0,0.0,1.0,5.0,0.3499156133083124,1.0,0.44948010716519726,1.0,0.20060427952649035,1.0,
