model,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold
xgboost,0.9995318571227939,0.9354838709677419,0.7837837837837838,0.8529411764705882,0.9627099841822688,0.8176153493101325,0.93
random_forest,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.9684637155444696,0.825913637853046,0.7
logistic_regression,0.9990871213894481,0.6966292134831461,0.8378378378378378,0.7607361963190185,0.9570332501888494,0.7547563341546905,0.94
