scenario,fl_model,aggregation_method,attack_type,attack_enabled,defense,clip_threshold,noise_multiplier,loss,accuracy,f1,recall,precision,roc_auc,pr_auc,threshold
normal_fl,logistic_regression,fedavg,sign_flip,0.0,none,0.0,0.0,0.10144665137696202,0.9993211928280511,0.8053691275167785,0.8108108108108109,0.8,0.9362182948283118,0.737038256570721,0.94
sign_flip_no_defense,logistic_regression,fedavg,sign_flip,1.0,none,0.0,0.0,0.6674949096428753,0.9851598707925658,0.0,0.0,0.0,0.08957138765101623,0.0009300036140110225,0.94
sign_flip_defended,logistic_regression,multi_krum,sign_flip,1.0,multi_krum+clip+dp,1.0,0.01,0.10633496027560875,0.9992743785403305,0.7947019867549668,0.8108108108108109,0.7792207792207793,0.9307964759920304,0.7389546853682867,0.84
scale_no_defense,logistic_regression,fedavg,scale,1.0,none,0.0,0.0,0.08089249590903479,0.9992041571087495,0.7792207792207793,0.8108108108108109,0.75,0.9544074181102881,0.7307718566505813,0.94
scale_defended,logistic_regression,multi_krum,scale,1.0,multi_krum+clip+dp,1.0,0.01,0.10137220488471392,0.9992743785403305,0.7947019867549668,0.8108108108108109,0.7792207792207793,0.9306849407088575,0.7392489208539968,0.84
label_flip_no_defense,logistic_regression,fedavg,label_flip,1.0,none,0.0,0.0,0.08543919411215478,0.99922756425261,0.7724137931034483,0.7567567567567568,0.7887323943661971,0.9399567864150025,0.7289129516625135,0.72
label_flip_defended,logistic_regression,multi_krum,label_flip,1.0,multi_krum+clip+dp,1.0,0.01,0.10341868026049247,0.9992743785403305,0.7947019867549668,0.8108108108108109,0.7792207792207793,0.9310241410515749,0.739118751632517,0.85
