round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.6637400713033026,0.6006039043115959,0.0008198161269543831,0.0945945945945946,0.0004116920543433512,0.13216202274305822,0.0009752688005569113
1,0.6426952475636908,0.6376808201863209,0.00832852841309501,0.8783783783783784,0.0041841004184100415,0.8981410363655721,0.29927344116632476
2,0.5195052258865721,0.8788446233790553,0.024132730015082957,0.8648648648648649,0.012237093690248566,0.9243016053476099,0.66233685662536
3,0.421493934374166,0.9604185197322223,0.07036833424958769,0.8648648648648649,0.03667621776504298,0.9286725526877468,0.7263275551141404
4,0.33153718475890687,0.9782547633537756,0.11943127962085308,0.8513513513513513,0.06422018348623854,0.9309935639071824,0.7480847983991423
5,0.2829154805223128,0.9851598707925658,0.16578947368421051,0.8513513513513513,0.09183673469387756,0.9304465023549154,0.7434343657851259
6,0.24980934885409323,0.9886709423716118,0.20655737704918034,0.8513513513513513,0.11753731343283583,0.9291418247172327,0.7245978838372299
7,0.22627087159674936,0.9915968353541501,0.2597938144329897,0.8513513513513513,0.15328467153284672,0.9303677622473345,0.7243261170161865
8,0.2167346699019896,0.9906371424558775,0.23954372623574144,0.8513513513513513,0.13938053097345132,0.929091443722845,0.7242172949039017
9,0.19603556783537907,0.9914797996348486,0.2571428571428571,0.8513513513513513,0.15144230769230768,0.928807694160114,0.7228511624937649
10,0.18180322085470002,0.9915032067787088,0.25766871165644173,0.8513513513513513,0.15180722891566265,0.9278975092143353,0.7233834953908209
11,0.1644936763644706,0.9918777210804738,0.266384778012685,0.8513513513513513,0.15789473684210525,0.9295150876819419,0.7237097298777433
12,0.15213493332718528,0.9927905996910257,0.2903225806451613,0.8513513513513513,0.175,0.9284640577549975,0.735625194280145
13,0.14100798161232067,0.994873835494593,0.3652173913043478,0.8513513513513513,0.23247232472324722,0.9292273773492119,0.7346517659755833
14,0.13402335958797754,0.9934459997191143,0.3103448275862069,0.8513513513513513,0.1897590361445783,0.9283125979102343,0.7342788865916714
15,0.13494328750864382,0.9921586068067975,0.27331887201735355,0.8513513513513513,0.16279069767441862,0.928449165259801,0.730678013902747
16,0.12405333552087563,0.9937971068770188,0.32225063938618925,0.8513513513513513,0.19873817034700317,0.9282834466430414,0.7359953426712311
17,0.11549035904444176,0.9954824212349609,0.3949843260188088,0.8513513513513513,0.2571428571428571,0.9284119340218102,0.7382930649110272
18,0.1107968629252243,0.9946865783437105,0.35694050991501414,0.8513513513513513,0.22580645161290322,0.9310027528935803,0.7391793367951869
19,0.10875623267048438,0.994569542624409,0.35195530726256985,0.8513513513513513,0.22183098591549297,0.9315708857422419,0.7402264304008751
20,0.10341868026049247,0.9950376855016151,0.3727810650887574,0.8513513513513513,0.23863636363636365,0.9310241410515749,0.739118751632517
