round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.765419779497884,0.519568372267216,0.004075889174632442,0.5675675675675675,0.0020452885317750183,0.5971275862243786,0.03430423519832133
1,0.6542502565161874,0.6373531201722766,0.008448,0.8918918918918919,0.004244100057874092,0.9077736290032294,0.537762187684445
2,0.5017758368388202,0.9077758531903937,0.03194103194103194,0.8783783783783784,0.016266266266266267,0.924374483515592,0.7233148593561602
3,0.40992622511608284,0.9638125555919667,0.07646356033452807,0.8648648648648649,0.04,0.9357211389780327,0.7436509842083443
4,0.3313592487052013,0.9768971490098778,0.1147982062780269,0.8648648648648649,0.06147934678194044,0.9386733385045145,0.7154601646216766
5,0.2879712929063415,0.9812040634801742,0.1356297093649085,0.8513513513513513,0.07368421052631578,0.9379711731990854,0.7197115080267888
6,0.253304279053681,0.985932306539956,0.1733149931224209,0.8513513513513513,0.09647779479326186,0.9376844134511553,0.7224290394473457
7,0.22868181938224852,0.9890922709610973,0.21283783783783783,0.8513513513513513,0.12162162162162163,0.9382214938630247,0.7233748805649033
8,0.2153322028625689,0.9881793923505454,0.19968304278922344,0.8513513513513513,0.11310592459605028,0.9375091889863978,0.7218715910266112
9,0.19569474450492536,0.9889518280979355,0.21070234113712374,0.8513513513513513,0.12022900763358779,0.9363339493122835,0.721177553540933
10,0.18082717019630054,0.9898412995646271,0.225,0.8513513513513513,0.12962962962962962,0.9344565443327401,0.7210886218883524
11,0.1649084425659248,0.9908478067506203,0.2437137330754352,0.8513513513513513,0.14221218961625282,0.9342778343903837,0.7212155554898076
12,0.15329199444646477,0.9911989139085249,0.250996015936255,0.8513513513513513,0.14719626168224298,0.9342835378991823,0.7276391577176844
13,0.14312489953097357,0.9920415710874959,0.2703862660944206,0.8513513513513513,0.16071428571428573,0.934959403691818,0.730600263273162
14,0.13594796069133958,0.991737278217312,0.2630480167014614,0.8513513513513513,0.15555555555555556,0.9343003315639782,0.7295082925842393
15,0.13444299938717602,0.9912457281962455,0.252,0.8513513513513513,0.14788732394366197,0.9335699655761558,0.7306833456979573
16,0.12478361751537594,0.9919947567997753,0.2692307692307692,0.8513513513513513,0.1598984771573604,0.9341669328304105,0.73096669722369
17,0.11801994189532428,0.9921820139506577,0.27391304347826084,0.8513513513513513,0.16321243523316062,0.9349011011574321,0.731291587086472
18,0.11223844759569268,0.9923224568138196,0.2775330396475771,0.8513513513513513,0.16578947368421051,0.9363325234350839,0.7334125539325502
19,0.10859107318899439,0.9927203782594448,0.28832951945080093,0.8513513513513513,0.17355371900826447,0.936764247364979,0.7356024127324153
20,0.10144665137696202,0.9932119282805112,0.30288461538461536,0.8513513513513513,0.18421052631578946,0.9362182948283118,0.737038256570721
