round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.6674236642648556,0.6588876925237582,0.0009597586892438472,0.0945945945945946,0.00048232619031213393,0.1384609144879263,0.0009728003631207488
1,0.6611945578256258,0.6557979495341978,0.0005437368313736152,0.05405405405405406,0.00027324270783523464,0.10610681024299483,0.0009182381426725634
2,0.6601785224319112,0.6532231637095641,0.0005397018147473521,0.05405405405405406,0.00027120482744592855,0.09150107479454694,0.0009072370723776364
3,0.6558561698880179,0.6543935209025795,0.0005415284640898937,0.05405405405405406,0.00027212735560242196,0.08057188449000492,0.0009008685617847933
4,0.6509471174926459,0.6598473854220308,0.0004127115146512588,0.04054054054054054,0.00020741150442477876,0.07467762500823841,0.0008975531859748023
5,0.6387852089138965,0.6764898647067085,0.00043393360815795185,0.04054054054054054,0.00021813422525994328,0.07123650803307528,0.0008966336240085849
6,0.6320581821136733,0.6817096577875568,0.0004410467509556013,0.04054054054054054,0.00022172949002217295,0.06458510775829292,0.0008946597589145275
7,0.6264735122786772,0.6813585506296521,0.000440560980982451,0.04054054054054054,0.00022148394241417498,0.06831409349698603,0.0008958957205820814
8,0.6264898336277198,0.6736810074434717,0.00043020004302000433,0.04054054054054054,0.0002162473870107403,0.07101058571233024,0.0008964417898797969
9,0.6201636920357747,0.6791348719629231,0.00043750911477322444,0.04054054054054054,0.00021994134897360704,0.07392919790922042,0.0008975597322225311
10,0.6155294225144803,0.6850802865034409,0.0005942653394740752,0.05405405405405406,0.00029877502240812666,0.08010261246051906,0.0009004066828206555
11,0.6034311260487293,0.6979542156266092,0.0006195786864931846,0.05405405405405406,0.0003115750116840629,0.08229339356238624,0.0009015906884292811
12,0.6010682759800678,0.6998970085670146,0.0004677633117642473,0.04054054054054054,0.0002352387673488591,0.08263845584470234,0.0009015986048002844
13,0.6060956468762655,0.6941856654651,0.0004590314436538903,0.04054054054054054,0.00023082249749942294,0.08197684882406323,0.0009010897047962427
14,0.6231600585476925,0.678596507654136,0.0005822840090254021,0.05405405405405406,0.00029271862422246617,0.08617146268384311,0.0009040666151276901
15,0.6248411686021285,0.6791816862506437,0.0005833454863642993,0.05405405405405406,0.0002932551319648094,0.0852405233032695,0.0009039212709725054
16,0.6305779034531082,0.6759983146856421,0.0005776173285198556,0.05405405405405406,0.00029036004645760743,0.08436503470268245,0.0009040447986098685
17,0.6463520290205156,0.6672206357380273,0.000562390158172232,0.05405405405405406,0.00028266553600452265,0.08723263218198504,0.0009057902441063732
18,0.6429397533898873,0.6724872431065961,0.0005714285714285715,0.05405405405405406,0.0002872325147206664,0.08778333764265112,0.0009091442715620467
19,0.6513183443281746,0.6705912644539114,0.0005681414672253391,0.05405405405405406,0.00028557149996430355,0.08952322468782797,0.0009169933503509474
20,0.6674949096428753,0.6663779785590562,0.0005609704789285464,0.05405405405405406,0.0002819482624938324,0.08957138765101623,0.0009300036140110225
