round,loss,accuracy,f1,recall,precision,roc_auc,pr_auc
0,0.765419779497884,0.519568372267216,0.004075889174632442,0.5675675675675675,0.0020452885317750183,0.5971275862243786,0.03430423519832133
1,0.6435027437112376,0.6476522634708113,0.008692788936450445,0.8918918918918919,0.004367679174111574,0.9118316755134426,0.573852812378766
2,0.5118622233362088,0.8814896306352699,0.02503369921047564,0.8783783783783784,0.012697792537605002,0.9276688935699908,0.7173430611861052
3,0.4146502256320543,0.956954262440897,0.06602336211274759,0.8783783783783784,0.03430079155672823,0.9458426490643711,0.7394137577232218
4,0.34676212663791395,0.9713028416272647,0.09453471196454949,0.8648648648648649,0.05,0.9537610204464454,0.7429699774999196
5,0.3005675777845465,0.9767332990028557,0.1140819964349376,0.8648648648648649,0.061068702290076333,0.9586134389876653,0.7262575822462369
6,0.2652318175089948,0.9790740133888863,0.12524461839530332,0.8648648648648649,0.06751054852320675,0.9611217154126552,0.7162892132702101
7,0.23935378138021773,0.9800102991432985,0.13034623217922606,0.8648648648648649,0.07048458149779736,0.9633774531425066,0.7147157589747924
8,0.2162054510358136,0.9814849492064979,0.13928182807399347,0.8648648648648649,0.0757396449704142,0.9628048842314458,0.7143198938595
9,0.19815964545967488,0.9834043350030429,0.15089820359281436,0.8513513513513513,0.08278580814717477,0.9620491693156297,0.7150927200472063
10,0.1829176262707415,0.983872477880249,0.15460122699386503,0.8513513513513513,0.08502024291497975,0.9639386150359701,0.7149482974686279
11,0.1720077540357367,0.9846215064837789,0.16091954022988506,0.8513513513513513,0.08885754583921016,0.962915468929819,0.7148348698180088
12,0.16315215753658427,0.9842235850381537,0.1575,0.8513513513513513,0.08677685950413223,0.9645903993470115,0.7193681678490692
13,0.15413832204923003,0.9857918636767942,0.17189631650750342,0.8513513513513513,0.09559939301972686,0.9638178907663995,0.7200555154815458
14,0.14942366303872723,0.985019427929404,0.16449086161879894,0.8513513513513513,0.09104046242774566,0.9631207952465691,0.7191807956935121
15,0.14402209004752595,0.9853237207995881,0.16733067729083664,0.8513513513513513,0.09278350515463918,0.9643445147454714,0.717453350368955
16,0.13888182919417222,0.9858152708206545,0.1721311475409836,0.8513513513513513,0.09574468085106383,0.9647488301469731,0.7168695538664017
17,0.13210621168730577,0.9869154065820889,0.18394160583941604,0.8513513513513513,0.10310965630114566,0.965406951690013,0.7221506002123199
18,0.12558874389076904,0.9879687280558026,0.196875,0.8513513513513513,0.11130742049469965,0.965004220596511,0.7248689923239875
19,0.11787414715173142,0.9895604138383034,0.2202797202797203,0.8513513513513513,0.12650602409638553,0.9628780792610281,0.7246266549270218
20,0.11830238284985875,0.9888347923786339,0.208955223880597,0.8513513513513513,0.11909262759924386,0.9627285205858644,0.720425668374931
